Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active users,Images,Depth
Khmer,ភាសាខ្មែរ,km,"7,649","28,504","230,749",5,"27,272",53,"1,196",60.18
Northern Sami,davvisámegiella,se,"7,534","18,392","289,817",5,"20,408",20,0,32.73
Rusyn,русиньскый,rue,"7,155","14,465","113,299",1,"17,910",16,0,8.18
Maori,Māori,mi,"7,150","12,784","148,490",2,"10,746",14,0,7.21
Nahuatl,Nāhuatl,nah,"6,952","18,340","445,813",3,"17,110",13,175,65.23
West Flemish,West-Vlams,vls,"6,866","19,478","300,184",5,"18,690",28,500,52
Bhojpuri,भोजपुरी,bh,"6,863","53,322","658,292",3,"18,420",30,56,565.75
Dutch Low Saxon,Nedersaksies,nds-nl,"6,839","17,029","302,104",7,"19,258",26,611,39.38
Crimean Tatar,qırımtatarca,crh,"6,588","21,909","140,218",2,"13,180",21,0,34.61
Gan,贛語,gan,"6,423","33,312","392,051",3,"32,345",15,146,206.26
Sardinian,sardu,sc,"6,013","13,307","158,898",4,"15,770",32,132,17.57
Vepsian,vepsän kel’,vep,"6,003","22,086","116,898",1,"10,927",25,0,37.99
Tibetan,བོད་ཡིག,bo,"5,855","16,922","136,525",1,"19,893",21,0,28.82
Erzya,эрзянь,myv,"5,692","15,768","112,972",3,"9,086",21,0,22.45
Gilaki,گیلکی,glk,"5,680","11,964","52,431",3,"11,251",13,807,5.36
Corsican,corsu,co,"5,667","12,878","362,368",2,"15,306",32,0,45.56
Assamese,অসমীয়া,as,"5,659","44,525","199,834",5,"23,105",69,"1,163",211.7
Turkmen,Türkmençe,tk,"5,559","13,132","209,471",3,"17,710",29,307,29.6
Somali,Soomaaliga,so,"5,512","19,850","193,070",1,"23,125",68,1,65.81
Võro,Võro,fiu-vro,"5,504","10,362","168,788",3,"10,374",12,211,12.69
Northern Luri,لۊری شومالی,lrc,"5,401","9,210","113,144",2,"3,872",9,0,6.11
Komi,коми,kv,"5,320","14,193","132,868",1,"10,498",15,0,26.04
Kashubian,kaszëbsczi,csb,"5,292","8,467","182,094",3,"12,335",17,0,7.74
Manx,Gaelg,gv,"4,980","16,865","297,880",3,"14,559",25,181,100.6
Udmurt,удмурт,udm,"4,695","13,984","112,528",5,"10,834",15,9,31.5
Zeelandic,Zeêuws,zea,"4,645","8,789","109,194",5,"9,293",14,1,9.89
Shona,chiShona,sn,"4,638","11,318","66,768",1,"9,731",14,0,12.24
Aymara,Aymar aru,ay,"4,619","8,118","90,174",1,"12,373",19,0,6.37
Interlingue,Interlingue,ie,"4,561","7,394","122,241",1,"12,631",27,0,6.38
Picard,Picard,pcd,"4,509","9,298","62,911",2,"10,442",23,52,7.63
Norman,Nouormand,nrm,"4,231","9,393","210,890",1,"10,030",13,0,33.42
Uyghur,ئۇيغۇرچە / Uyghurche,ug,"4,137","12,159","145,672",1,"15,084",15,295,45.05
Saterland Frisian,Seeltersk,stq,"4,002","10,399","117,986",4,"10,173",13,442,28.99
Lezgian,лезги,lez,"3,972","10,703","78,190",5,"7,234",17,10,20.98
Cornish,kernowek,kw,"3,891","8,001","174,672",1,"10,652",28,0,24.36
Abkhazian,Аҧсшәа,ab,"3,887","14,919","79,441",2,"13,540",21,13,42.89
Ladino,Ladino,lad,"3,873","13,035","203,702",5,"15,716",23,23,87.45
Kabyle,Taqbaylit,kab,"3,818","10,982","83,049",2,"8,841",19,0,26.63
Mirandese,Mirandés,mwl,"3,764","9,905","95,359",2,"9,796",15,0,25.63
Konkani,गोंयची कोंकणी / Gõychi Konknni,gom,"3,719","8,237","180,783",3,"5,129",12,0,32.39
Guarani,Avañe'ẽ,gn,"3,693","8,801","108,807",2,"12,612",25,0,23.65
Hausa,Hausa,ha,"3,685","8,283","50,592",2,"9,040",30,0,9.51
Hawaiian,Hawaiʻi,haw,"3,671","6,352","86,336",1,"11,205",11,0,7.25
Romansh,rumantsch,rm,"3,604","8,608","156,454",3,"14,471",25,49,35.04
Ligurian,Ligure,lij,"3,574","15,228","162,860",3,"10,358",20,0,113.71
Lingua Franca Nova,Lingua Franca Nova,lfn,"3,482","5,446","29,559",3,"3,277",17,0,——
Komi-Permyak,Перем Коми,koi,"3,450","8,697","55,524",1,"6,303",6,0,14.77
Lao,ລາວ,lo,"3,429","10,345","78,647",1,"11,403",24,0,30.93
Maltese,Malti,mt,"3,408","15,397","252,722",4,"15,811",25,"1,149",203.13
Franco-Provençal,arpetan,frp,"3,351","8,640","189,152",2,"11,316",18,0,54.54
Friulian,furlan,fur,"3,329","7,805","166,235",2,"10,613",16,318,38.5
Lower Sorbian,dolnoserbski,dsb,"3,240","10,851","136,938",1,"14,154",19,0,69.64
Lingala,lingála,ln,"3,121","8,190","119,169",3,"9,134",13,28,38.38
Anglo-Saxon,Ænglisc,ang,"3,105","14,561","194,828",2,"100,210",31,300,182.14
Extremaduran,estremeñu,ext,"3,072","7,062","109,979",1,"12,928",21,0,26.27
Livvi-Karelian,Livvinkarjala,olo,"3,064","7,207","25,341",2,"3,789",9,0,——
Doteli,डोटेली,dty,"3,063","13,353","183,657",2,"3,130",20,3,——
Chavacano,Chavacano de Zamboanga,cbk-zam,"3,011","5,500","99,784",2,"11,149",12,1,12.4
Divehi,ދިވެހިބަސް,dv,"2,994","10,503","121,008",2,"19,557",21,933,72.47
Ripuarian,Ripoarisch,ksh,"2,856","10,334","1,600,454",3,"17,670",10,0,1061.77
Gagauz,Gagauz,gag,"2,728","6,259","63,534",2,"9,017",12,0,17.01
Pali,पालि,pi,"2,536","4,450","96,250",1,"5,114",5,0,12.32
Pangasinan,Pangasinan,pag,"2,525","7,676","66,230",1,"5,810",7,0,35.91
Palatinate German,Pälzisch,pfl,"2,522","6,545","83,640",5,"7,839",18,0,32.52
Banjar,Bahasa Banjar,bjn,"2,496","15,255","62,855",2,"9,278",14,1,107.66
Avar,авар,av,"2,294","9,479","68,458",1,"10,362",20,0,70.85
Buryat,буряад,bxr,"2,160","7,874","54,107",1,"10,691",14,0,48.09
Kalmyk,хальмг,xal,"2,083","10,781","80,696",1,"7,553",8,0,130.51
Gorontalo,Bahasa Hulontalo,gor,"2,047","4,210","22,460",3,942,5,0,——
Karachay-Balkar,къарачай-малкъар,krc,"2,029","13,499","103,765",2,"7,624",12,0,245.65
Zhuang,Vahcuengh,za,"1,928","4,041","38,488",1,"7,606",5,0,11.44
Papiamentu,Papiamentu,pap,"1,913","4,643","71,909",2,"9,158",17,0,31.54
Karakalpak,Qaraqalpaqsha,kaa,"1,872","4,766","42,558",2,"8,097",10,0,21.34
Pennsylvania German,Deitsch,pdc,"1,869","5,642","102,870",1,"24,602",14,0,74.3
Kinyarwanda,Kinyarwanda,rw,"1,821","5,146","71,594",1,"8,083",10,0,46.38
Tuvan,тыва дыл,tyv,"1,815","7,001","29,069",1,"5,590",12,0,33.9
Tongan,lea faka-Tonga,to,"1,698","4,973","39,458",2,"6,304",4,11,29.52
Greenlandic,kalaallisut,kl,"1,670","3,985","71,978",2,"9,803",9,0,34.71
Novial,Novial,nov,"1,663","4,505","174,678",2,"8,390",9,0,113.24
Jamaican Patois,Patois,jam,"1,637","2,870","19,603",1,"4,406",15,0,3.87
Aramaic,ܐܪܡܝܐ,arc,"1,636","5,974","93,025",2,"15,249",16,0,109.48
Kabiye,Kabɩyɛ,kbp,"1,597","3,108","14,351",2,"2,059",8,0,——
Kabardian,Адыгэбзэ,kbd,"1,583","6,633","42,169",1,"7,140",11,0,64.7
Tok Pisin,Tok Pisin,tpi,"1,500","5,688","84,441",1,"9,321",8,0,115.72
Tetum,tetun,tet,"1,462","3,735","62,752",2,"7,001",11,0,40.61
Igbo,Igbo,ig,"1,414","5,676","63,844",2,"9,502",24,0,102.19
Kikuyu,Gĩkũyũ,ki,"1,361","2,878","19,503",1,"5,338",6,0,8.42
Nauruan,Dorerin Naoero,na,"1,307","4,109","80,861",2,"7,932",14,0,90.45
Wolof,Wolof,wo,"1,265","4,661","100,561",2,"11,198",21,0,155.49
Lojban,la .lojban.,jbo,"1,245","5,582","108,940",3,"11,857",10,0,236.83
Aromanian,armãneashti,roa-rup,"1,224","3,869","198,455",1,"10,851",8,0,239.53
Lak,лакку,lbe,"1,219","12,056","45,001",1,"6,403",8,0,295.01
Bislama,Bislama,bi,"1,213","2,918","37,887",1,"8,186",12,0,——
Tahitian,reo tahiti,ty,"1,202","2,868","52,067",1,"5,603",7,0,34.88
Kongo,Kongo,kg,"1,196","2,793","42,631",2,"7,522",7,0,27.21
Moksha,мокшень,mdf,"1,186","6,124","50,275",2,"6,770",9,0,142.31
Luganda,Luganda,lg,"1,176","4,300","24,335",1,"5,077",6,0,39.94
Zulu,isiZulu,zu,"1,090","5,130","52,745",1,"11,978",20,0,141.25
Sranan,Sranantongo,srn,"1,073","2,648","37,979",1,"5,577",6,0,30.9
Tulu,ತುಳು,tcy,"1,062","4,236","58,095",2,"2,774",18,0,——
Ingush,ГӀалгӀай,inh,"1,041","4,075","30,379",2,"1,136",9,0,——
Atikamekw,Atikamekw,atj,"1,006","1,900","10,984",4,"1,855",5,0,——
Santali,ᱥᱟᱱᱛᱟᱲᱤ,sat,901,"3,808","23,015",3,"1,458",35,0,——
Latgalian,latgaļu,ltg,827,"2,910","33,032",1,"5,074",11,0,72.01
Cherokee,ᏣᎳᎩ,chr,827,"3,641","43,763",2,"14,740",17,0,139.16
Samoan,Gagana Samoa,sm,815,"2,905","39,039",1,"6,125",32,0,88.38
Xhosa,isiXhosa,xh,800,"3,301","30,523",1,"8,266",16,0,90.37
Oromo,Oromoo,om,791,"3,246","31,363",1,"6,393",10,0,93.07
Norfolk,Norfuk / Pitkern,pih,774,"3,015","40,805",2,"7,787",10,0,——
Old Church Slavonic,словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ,cu,676,"4,697","76,261",2,"18,199",13,0,574.46
Twi,Twi,tw,669,"2,175","19,728",1,"8,578",13,0,45.96
Romani,romani čhib,rmy,664,"2,552","47,712",2,"13,293",23,0,151.15
Bambara,bamanankan,bm,653,"2,524","38,113",1,"7,804",5,0,——
Tswana,Setswana,tn,651,"2,724","22,185",1,"6,556",12,0,82.58
Cheyenne,Tsetsêhestâhese,chy,617,"2,173","23,285",1,"8,152",7,0,68.15
Kirundi,Kirundi,rn,614,"2,326","20,270",1,"5,795",5,0,——
Akan,Akan,ak,613,"2,475","20,951",1,"8,340",17,0,——
Gothic,𐌲𐌿𐍄𐌹𐍃𐌺,got,597,"3,226","39,620",2,"13,680",15,0,——
Tsonga,Xitsonga,ts,594,"3,442","33,659",2,"6,446",13,0,——
Tumbuka,chiTumbuka,tum,575,"1,890","21,545",1,"4,982",11,0,59.62
Sesotho,Sesotho,st,551,"2,217","23,295",1,"6,921",9,0,——
Chichewa,Chi-Chewa,ny,540,"2,855","20,986",2,"5,860",11,0,——
Chamorro,Chamoru,ch,476,"2,344","20,576",1,"11,333",9,0,——
Swati,SiSwati,ss,470,"2,205","36,473",3,"5,887",13,0,——
Pontic,Ποντιακά,pnt,466,"1,975","34,134",1,"7,400",5,0,——
Fijian,Na Vosa Vakaviti,fj,432,"1,988","31,002",1,"6,102",7,0,——
Inuktitut,ᐃᓄᒃᑎᑐᑦ/inuktitut,iu,420,"2,895","42,257",2,"12,888",10,0,——
Adyghe,адыгабзэ,ady,410,"1,783","8,123",2,"3,454",11,0,——
Ewe,eʋegbe,ee,354,"2,656","48,077",2,"10,341",7,0,——
Kashmiri,कॉशुर / کٲشُر,ks,325,"1,636","32,672",1,"6,859",8,0,——
Inupiak,Iñupiak,ik,269,"2,287","35,241",1,"5,949",6,0,——
Venda,Tshivenda,ve,268,"1,646","16,911",1,"4,822",4,0,——
Sango,Sängö,sg,260,"1,620","19,438",1,"4,657",9,0,——
Fula,Fulfulde,ff,229,"1,803","21,216",1,"5,888",9,0,——
Dzongkha,ཇོང་ཁ,dz,218,"2,013","27,769",1,"6,968",9,0,——
Tigrinya,ትግርኛ,ti,169,"1,630","19,428",1,"6,199",5,0,——
Cree,Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ,cr,102,"2,017","33,923",2,"11,121",12,0,——
Dinka,Thuɔŋjäŋ,din,94,685,"4,548",1,"3,947",16,0,——
Ndonga,Oshiwambo,ng,8,441,"5,920",1,"1,755",1,0,——
Choctaw,Choctaw,cho,6,200,"4,217",1,"1,411",0,0,——
Kuanyama,Kwanyama,kj,4,113,"3,547",1,"1,140",0,0,——
Marshallese,Ebon,mh,4,205,"4,211",1,"1,743",0,0,——
Hiri Motu,Hiri Motu,ho,3,128,"3,785",1,"1,278",0,0,——
Nuosu,ꆇꉙ,ii,3,188,"11,652",1,"1,546",0,0,——
Afar,Qafár af,aa,1,509,"4,680",1,"3,247",0,0,——
Muscogee,Mvskoke,mus,1,114,"3,600",1,"1,630",0,0,——
Herero,Otsiherero,hz,0,175,"4,480",1,"3,081",0,0,——
Kanuri,Kanuri,kr,0,161,"4,640",1,"4,404",0,0,——
Shan,ၽႃႇသႃႇတႆး,shn,0,0,0,0,0,0,0,——
Western Armenian,Արեւմտահայերէն,hyw,0,0,0,0,0,0,0,——

